timestamp,equipment_id,vibration_rms_mm_s,temperature_c,speed_rpm,load_pct,health_score,state,fault_active,fault_type
2026-07-13 16:04:45,BEARING-001,2.046,39.7,1522.07,63.58,90.14,normal,False,none
2026-07-13 16:05:45,BEARING-001,1.844,41.04,1461.5,66.38,92.3,normal,False,none
2026-07-13 16:06:45,BEARING-001,2.113,39.71,1496.45,67.11,91.32,normal,False,none
2026-07-13 16:07:45,BEARING-001,2.141,40.59,1502.65,65.41,96.78,normal,False,none
2026-07-13 16:08:45,BEARING-001,1.707,39.25,1504.44,67.28,91.22,normal,False,none
2026-07-13 16:09:45,BEARING-001,1.805,39.84,1494.42,65.69,95.06,normal,False,none
2026-07-13 16:10:45,BEARING-001,2.019,39.24,1473.65,66.59,96.94,normal,False,none
2026-07-13 16:11:45,BEARING-001,1.953,39.73,1504.92,62.89,95.81,normal,False,none
2026-07-13 16:12:45,BEARING-001,1.997,40.67,1525.91,64.46,92.0,normal,False,none
2026-07-13 16:13:45,BEARING-001,1.872,38.62,1476.99,65.59,98.04,normal,False,none
2026-07-13 16:14:45,BEARING-001,2.132,40.35,1512.96,67.46,97.15,normal,False,none
2026-07-13 16:15:45,BEARING-001,2.117,40.19,1495.07,63.82,97.39,normal,False,none
2026-07-13 16:16:45,BEARING-001,2.01,39.52,1499.08,66.56,91.31,normal,False,none
2026-07-13 16:17:45,BEARING-001,2.169,38.84,1484.21,64.2,91.24,normal,False,none
2026-07-13 16:18:45,BEARING-001,2.07,40.06,1494.98,64.65,99.28,normal,False,none
2026-07-13 16:19:45,BEARING-001,1.871,39.58,1519.5,67.49,93.98,normal,False,none
2026-07-13 16:20:45,BEARING-001,2.055,40.19,1508.74,59.02,93.01,normal,False,none
2026-07-13 16:21:45,BEARING-001,1.856,40.02,1525.98,61.11,94.89,normal,False,none
2026-07-13 16:22:45,BEARING-001,2.132,41.28,1517.66,60.55,96.63,normal,False,none
2026-07-13 16:23:45,BEARING-001,1.993,39.81,1506.59,58.0,99.56,normal,False,none
2026-07-13 16:24:45,BEARING-001,1.972,39.18,1526.16,62.97,92.86,normal,False,none
2026-07-13 16:25:45,BEARING-001,1.898,40.14,1506.58,67.25,99.25,normal,False,none
