timestamp,asset_run_id,cycle,equipment_id,equipment_type,failure_type,temperature,vibration,rpm,current,load,pressure,flow_rate,conveyor_speed,slip_rate,health_score,failure_occurred,rul_steps,rul_hours,degradation_progress,simulation_step,scenario_id
2026-02-01 00:00:00,motor_run_001,0,MOTOR-RUL-001,motor,motor_overheating,47.376,1.875,1507.525,17.512,53.958,,,,,100.0,0,124.0,62.0,0.0,0,rul_motor_overheating
2026-02-01 00:30:00,motor_run_001,1,MOTOR-RUL-001,motor,motor_overheating,47.838,1.799,1493.176,18.225,55.631,,,,,99.976,0,123.0,61.5,0.000569,1,rul_motor_overheating
2026-02-01 01:00:00,motor_run_001,2,MOTOR-RUL-001,motor,motor_overheating,48.756,1.85,1493.126,18.107,54.26,,,,,100.0,0,122.0,61.0,0.001666,2,rul_motor_overheating
2026-02-01 01:30:00,motor_run_001,3,MOTOR-RUL-001,motor,motor_overheating,48.12,1.788,1494.553,18.334,54.926,,,,,99.473,0,121.0,60.5,0.003124,3,rul_motor_overheating
2026-02-01 02:00:00,motor_run_001,4,MOTOR-RUL-001,motor,motor_overheating,48.023,1.863,1502.924,18.147,55.423,,,,,100.0,0,120.0,60.0,0.00488,4,rul_motor_overheating
2026-02-01 02:30:00,motor_run_001,5,MOTOR-RUL-001,motor,motor_overheating,48.087,1.763,1493.49,18.216,56.014,,,,,99.253,0,119.0,59.5,0.006896,5,rul_motor_overheating
2026-02-01 03:00:00,motor_run_001,6,MOTOR-RUL-001,motor,motor_overheating,47.935,1.736,1505.205,18.268,55.581,,,,,98.752,0,118.0,59.0,0.009148,6,rul_motor_overheating
2026-02-01 03:30:00,motor_run_001,7,MOTOR-RUL-001,motor,motor_overheating,48.697,1.835,1501.75,18.322,55.365,,,,,99.178,0,117.0,58.5,0.011617,7,rul_motor_overheating
2026-02-01 04:00:00,motor_run_001,8,MOTOR-RUL-001,motor,motor_overheating,48.726,1.857,1505.05,17.764,54.973,,,,,98.336,0,116.0,58.0,0.014288,8,rul_motor_overheating
2026-02-01 04:30:00,motor_run_001,9,MOTOR-RUL-001,motor,motor_overheating,48.44,1.807,1511.96,17.938,56.049,,,,,97.444,0,115.0,57.5,0.01715,9,rul_motor_overheating
2026-02-01 05:00:00,motor_run_001,10,MOTOR-RUL-001,motor,motor_overheating,48.768,1.857,1504.69,18.36,55.958,,,,,97.806,0,114.0,57.0,0.020193,10,rul_motor_overheating
2026-02-01 05:30:00,motor_run_001,11,MOTOR-RUL-001,motor,motor_overheating,48.846,1.933,1498.47,17.892,54.468,,,,,97.2,0,113.0,56.5,0.023408,11,rul_motor_overheating
2026-02-01 06:00:00,motor_run_001,12,MOTOR-RUL-001,motor,motor_overheating,49.584,1.868,1505.524,18.134,55.555,,,,,97.634,0,112.0,56.0,0.026787,12,rul_motor_overheating
2026-02-01 06:30:00,motor_run_001,13,MOTOR-RUL-001,motor,motor_overheating,49.27,1.906,1494.705,18.182,55.18,,,,,96.37,0,111.0,55.5,0.030326,13,rul_motor_overheating
2026-02-01 07:00:00,motor_run_001,14,MOTOR-RUL-001,motor,motor_overheating,49.925,1.821,1500.1,18.426,55.901,,,,,96.931,0,110.0,55.0,0.034017,14,rul_motor_overheating
2026-02-01 07:30:00,motor_run_001,15,MOTOR-RUL-001,motor,motor_overheating,49.758,1.833,1499.362,17.919,54.448,,,,,95.553,0,109.0,54.5,0.037856,15,rul_motor_overheating
2026-02-01 08:00:00,motor_run_001,16,MOTOR-RUL-001,motor,motor_overheating,49.41,1.924,1492.756,18.282,56.709,,,,,95.638,0,108.0,54.0,0.041839,16,rul_motor_overheating
2026-02-01 08:30:00,motor_run_001,17,MOTOR-RUL-001,motor,motor_overheating,50.649,1.799,1498.356,18.176,55.464,,,,,95.824,0,107.0,53.5,0.045961,17,rul_motor_overheating
2026-02-01 09:00:00,motor_run_001,18,MOTOR-RUL-001,motor,motor_overheating,49.374,1.944,1501.902,18.303,54.647,,,,,95.014,0,106.0,53.0,0.050219,18,rul_motor_overheating
2026-02-01 09:30:00,motor_run_001,19,MOTOR-RUL-001,motor,motor_overheating,50.304,1.932,1500.175,18.892,55.682,,,,,94.027,0,105.0,52.5,0.054609,19,rul_motor_overheating
2026-02-01 10:00:00,motor_run_001,20,MOTOR-RUL-001,motor,motor_overheating,50.946,1.94,1510.874,18.741,56.232,,,,,94.819,0,104.0,52.0,0.059128,20,rul_motor_overheating
2026-02-01 10:30:00,motor_run_001,21,MOTOR-RUL-001,motor,motor_overheating,50.348,1.864,1492.587,18.477,54.919,,,,,93.94,0,103.0,51.5,0.063773,21,rul_motor_overheating
2026-02-01 11:00:00,motor_run_001,22,MOTOR-RUL-001,motor,motor_overheating,51.157,1.79,1491.875,18.695,56.767,,,,,94.144,0,102.0,51.0,0.068541,22,rul_motor_overheating
